# Threshold Efficiency
0.000988 0.999879
0.001088 0.999879
0.001188 0.999758
0.001287 0.999758
0.001387 0.999758
0.001487 0.999758
0.001587 0.999637
0.001687 0.999637
0.001787 0.999395
0.001887 0.999274
0.001987 0.999274
0.002087 0.999153
0.002186 0.999032
0.002286 0.998911
0.002386 0.998911
0.002486 0.998791
0.002586 0.998670
0.002686 0.998549
0.002786 0.998549
0.002886 0.998549
0.002986 0.998549
0.003086 0.998549
0.003185 0.998307
0.003285 0.998186
0.003385 0.997944
0.003485 0.997823
0.003585 0.997702
0.003685 0.997702
0.003785 0.997581
0.003885 0.997460
0.003985 0.997460
0.004085 0.997460
0.004184 0.997460
0.004284 0.997460
0.004384 0.997460
0.004484 0.997460
0.004584 0.997339
0.004684 0.997339
0.004784 0.997339
0.004884 0.997218
0.004984 0.997097
0.005083 0.997097
0.005183 0.997097
0.005283 0.996976
0.005383 0.996855
0.005483 0.996855
0.005583 0.996855
0.005683 0.996855
0.005783 0.996734
0.005883 0.996613
0.005983 0.996613
0.006082 0.996493
0.006182 0.996493
0.006282 0.996493
0.006382 0.996493
0.006482 0.996372
0.006582 0.996251
0.006682 0.996130
0.006782 0.996130
0.006882 0.996130
0.006982 0.996130
0.007081 0.996009
0.007181 0.996009
0.007281 0.996009
0.007381 0.995888
0.007481 0.995888
0.007581 0.995888
0.007681 0.995767
0.007781 0.995767
0.007881 0.995767
0.007980 0.995646
0.008080 0.995525
0.008180 0.995525
0.008280 0.995525
0.008380 0.995525
0.008480 0.995525
0.008580 0.995404
0.008680 0.995283
0.008780 0.995283
0.008880 0.995283
0.008979 0.995162
0.009079 0.994920
0.009179 0.994920
0.009279 0.994799
0.009379 0.994799
0.009479 0.994799
0.009579 0.994557
0.009679 0.994436
0.009779 0.994315
0.009879 0.994315
0.009978 0.994194
0.010078 0.994074
0.010178 0.994074
0.010278 0.994074
0.010378 0.994074
0.010478 0.993953
0.010578 0.993832
0.010678 0.993711
0.010778 0.993469
0.010877 0.993348
0.010977 0.993106
0.011077 0.993106
0.011177 0.993106
0.011277 0.993106
0.011377 0.992985
0.011477 0.992864
0.011577 0.992743
0.011677 0.992743
0.011777 0.992743
0.011876 0.992743
0.011976 0.992743
0.012076 0.992743
0.012176 0.992622
0.012276 0.992622
0.012376 0.992501
0.012476 0.992380
0.012576 0.992380
0.012676 0.992380
0.012775 0.992380
0.012875 0.992380
0.012975 0.992259
0.013075 0.992259
0.013175 0.992259
0.013275 0.992259
0.013375 0.992259
0.013475 0.992017
0.013575 0.991896
0.013675 0.991896
0.013774 0.991655
0.013874 0.991655
0.013974 0.991534
0.014074 0.991534
0.014174 0.991413
0.014274 0.991413
0.014374 0.991413
0.014474 0.991292
0.014574 0.991050
0.014674 0.990808
0.014773 0.990808
0.014873 0.990808
0.014973 0.990687
0.015073 0.990566
0.015173 0.990445
0.015273 0.990324
0.015373 0.990324
0.015473 0.990203
0.015573 0.990203
0.015672 0.990082
0.015772 0.989961
0.015872 0.989840
0.015972 0.989840
0.016072 0.989598
0.016172 0.989598
0.016272 0.989598
0.016372 0.989598
0.016472 0.989478
0.016572 0.989357
0.016671 0.989236
0.016771 0.989115
0.016871 0.989115
0.016971 0.988873
0.017071 0.988873
0.017171 0.988873
0.017271 0.988752
0.017371 0.988631
0.017471 0.988631
0.017571 0.988631
0.017670 0.988631
0.017770 0.988510
0.017870 0.988510
0.017970 0.988510
0.018070 0.988389
0.018170 0.988389
0.018270 0.988268
0.018370 0.988268
0.018470 0.988268
0.018569 0.988147
0.018669 0.988026
0.018769 0.987905
0.018869 0.987905
0.018969 0.987784
0.019069 0.987663
0.019169 0.987663
0.019269 0.987663
0.019369 0.987663
0.019469 0.987542
0.019568 0.987421
0.019668 0.987300
0.019768 0.987300
0.019868 0.987179
0.019968 0.987179
0.020068 0.986938
0.020168 0.986938
0.020268 0.986938
0.020368 0.986817
0.020468 0.986817
0.020567 0.986817
0.020667 0.986817
0.020767 0.986817
0.020867 0.986817
0.020967 0.986575
0.021067 0.986575
0.021167 0.986454
0.021267 0.986454
0.021367 0.986454
0.021466 0.986333
0.021566 0.986212
0.021666 0.986212
0.021766 0.986212
0.021866 0.986091
0.021966 0.986091
0.022066 0.986091
0.022166 0.986091
0.022266 0.986091
0.022366 0.985970
0.022465 0.985849
0.022565 0.985849
0.022665 0.985607
0.022765 0.985607
0.022865 0.985486
0.022965 0.985486
0.023065 0.985486
0.023165 0.985244
0.023265 0.985123
0.023364 0.984761
0.023464 0.984761
0.023564 0.984640
0.023664 0.984519
0.023764 0.984277
0.023864 0.984277
0.023964 0.984277
0.024064 0.984277
0.024164 0.984277
0.024264 0.984156
0.024363 0.984035
0.024463 0.984035
0.024563 0.983914
0.024663 0.983793
0.024763 0.983672
0.024863 0.983551
0.024963 0.983430
0.025063 0.983430
0.025163 0.983309
0.025263 0.982946
0.025362 0.982704
0.025462 0.982463
0.025562 0.982463
0.025662 0.982342
0.025762 0.982342
0.025862 0.982221
0.025962 0.981979
0.026062 0.981858
0.026162 0.981858
0.026261 0.981495
0.026361 0.981495
0.026461 0.981374
0.026561 0.981374
0.026661 0.981132
0.026761 0.981011
0.026861 0.980890
0.026961 0.980890
0.027061 0.980648
0.027161 0.980527
0.027260 0.980527
0.027360 0.980527
0.027460 0.980527
0.027560 0.980406
0.027660 0.980406
0.027760 0.979923
0.027860 0.979923
0.027960 0.979802
0.028060 0.979681
0.028160 0.979439
0.028259 0.979439
0.028359 0.979439
0.028459 0.979318
0.028559 0.979318
0.028659 0.979318
0.028759 0.979318
0.028859 0.979197
0.028959 0.978834
0.029059 0.978834
0.029158 0.978713
0.029258 0.978713
0.029358 0.978713
0.029458 0.978471
0.029558 0.978471
0.029658 0.978350
0.029758 0.978350
0.029858 0.978229
0.029958 0.978108
0.030058 0.977987
0.030157 0.977987
0.030257 0.977866
0.030357 0.977746
0.030457 0.977383
0.030557 0.977262
0.030657 0.977141
0.030757 0.977020
0.030857 0.976778
0.030957 0.976778
0.031056 0.976778
0.031156 0.976657
0.031256 0.976536
0.031356 0.976294
0.031456 0.976294
0.031556 0.976173
0.031656 0.976052
0.031756 0.976052
0.031856 0.976052
0.031956 0.975931
0.032055 0.975931
0.032155 0.975810
0.032255 0.975689
0.032355 0.975568
0.032455 0.975568
0.032555 0.975448
0.032655 0.975327
0.032755 0.975085
0.032855 0.974964
0.032955 0.974843
0.033054 0.974601
0.033154 0.974480
0.033254 0.974480
0.033354 0.973996
0.033454 0.973875
0.033554 0.973875
0.033654 0.973875
0.033754 0.973633
0.033854 0.973391
0.033953 0.973149
0.034053 0.972787
0.034153 0.972787
0.034253 0.972787
0.034353 0.972787
0.034453 0.972545
0.034553 0.972545
0.034653 0.972424
0.034753 0.972424
0.034853 0.972424
0.034952 0.972303
0.035052 0.972182
0.035152 0.972061
0.035252 0.971940
0.035352 0.971819
0.035452 0.971698
0.035552 0.971577
0.035652 0.971577
0.035752 0.971456
0.035852 0.971335
0.035951 0.971093
0.036051 0.971093
0.036151 0.970731
0.036251 0.970610
0.036351 0.970368
0.036451 0.970126
0.036551 0.970126
0.036651 0.970005
0.036751 0.969884
0.036850 0.969763
0.036950 0.969521
0.037050 0.969279
0.037150 0.969158
0.037250 0.969037
0.037350 0.968916
0.037450 0.968674
0.037550 0.968553
0.037650 0.968191
0.037750 0.968070
0.037849 0.967949
0.037949 0.967828
0.038049 0.967828
0.038149 0.967828
0.038249 0.967828
0.038349 0.967828
0.038449 0.967465
0.038549 0.967344
0.038649 0.966981
0.038749 0.966860
0.038848 0.966860
0.038948 0.966860
0.039048 0.966618
0.039148 0.966618
0.039248 0.966618
0.039348 0.966376
0.039448 0.966255
0.039548 0.966255
0.039648 0.966134
0.039747 0.965772
0.039847 0.965530
0.039947 0.965167
0.040047 0.965046
0.040147 0.964925
0.040247 0.964683
0.040347 0.964199
0.040447 0.964199
0.040547 0.964078
0.040647 0.963716
0.040746 0.963716
0.040846 0.963595
0.040946 0.963474
0.041046 0.963474
0.041146 0.963353
0.041246 0.963232
0.041346 0.962990
0.041446 0.962990
0.041546 0.962748
0.041645 0.962627
0.041745 0.962506
0.041845 0.962264
0.041945 0.962264
0.042045 0.961901
0.042145 0.961780
0.042245 0.961659
0.042345 0.961418
0.042445 0.961297
0.042545 0.960934
0.042644 0.960571
0.042744 0.960450
0.042844 0.960087
0.042944 0.959966
0.043044 0.959845
0.043144 0.959845
0.043244 0.959603
0.043344 0.959361
0.043444 0.959240
0.043544 0.958999
0.043643 0.958636
0.043743 0.958515
0.043843 0.958273
0.043943 0.957789
0.044043 0.957547
0.044143 0.957184
0.044243 0.957184
0.044343 0.957184
0.044443 0.957063
0.044542 0.957063
0.044642 0.956701
0.044742 0.956459
0.044842 0.956096
0.044942 0.955612
0.045042 0.955370
0.045142 0.955249
0.045242 0.955007
0.045342 0.955007
0.045442 0.955007
0.045541 0.954644
0.045641 0.954282
0.045741 0.954161
0.045841 0.953919
0.045941 0.953677
0.046041 0.953193
0.046141 0.953072
0.046241 0.952951
0.046341 0.952709
0.046441 0.951984
0.046540 0.951984
0.046640 0.951742
0.046740 0.951621
0.046840 0.951379
0.046940 0.951016
0.047040 0.950774
0.047140 0.950653
0.047240 0.950532
0.047340 0.950290
0.047439 0.950048
0.047539 0.950048
0.047639 0.949686
0.047739 0.949565
0.047839 0.949444
0.047939 0.949202
0.048039 0.949081
0.048139 0.948960
0.048239 0.948597
0.048339 0.948476
0.048438 0.948355
0.048538 0.947871
0.048638 0.947750
0.048738 0.947629
0.048838 0.947508
0.048938 0.947146
0.049038 0.947146
0.049138 0.946662
0.049238 0.946299
0.049338 0.946057
0.049437 0.945815
0.049537 0.945694
0.049637 0.945452
0.049737 0.945331
0.049837 0.945090
0.049937 0.944606
0.050037 0.944485
0.050137 0.944243
0.050237 0.943880
0.050336 0.943517
0.050436 0.943154
0.050536 0.943033
0.050636 0.942912
0.050736 0.942187
0.050836 0.941945
0.050936 0.941582
0.051036 0.941219
0.051136 0.940977
0.051236 0.940856
0.051335 0.940614
0.051435 0.940493
0.051535 0.939768
0.051635 0.939647
0.051735 0.939405
0.051835 0.939284
0.051935 0.938921
0.052035 0.938921
0.052135 0.938800
0.052234 0.938679
0.052334 0.938558
0.052434 0.938316
0.052534 0.938075
0.052634 0.937470
0.052734 0.937349
0.052834 0.937228
0.052934 0.936986
0.053034 0.936865
0.053134 0.936865
0.053233 0.936623
0.053333 0.936139
0.053433 0.935897
0.053533 0.935656
0.053633 0.935656
0.053733 0.935535
0.053833 0.935051
0.053933 0.934809
0.054033 0.934688
0.054133 0.934567
0.054232 0.934446
0.054332 0.934204
0.054432 0.933841
0.054532 0.933720
0.054632 0.933720
0.054732 0.932995
0.054832 0.932874
0.054932 0.932874
0.055032 0.932753
0.055131 0.932511
0.055231 0.932511
0.055331 0.932148
0.055431 0.931906
0.055531 0.931906
0.055631 0.931785
0.055731 0.931301
0.055831 0.931180
0.055931 0.931060
0.056031 0.930818
0.056130 0.930455
0.056230 0.930334
0.056330 0.929971
0.056430 0.929608
0.056530 0.929124
0.056630 0.928761
0.056730 0.928641
0.056830 0.928278
0.056930 0.928036
0.057030 0.927794
0.057129 0.927552
0.057229 0.927552
0.057329 0.927431
0.057429 0.927189
0.057529 0.926947
0.057629 0.926463
0.057729 0.926222
0.057829 0.926222
0.057929 0.925859
0.058028 0.925375
0.058128 0.925254
0.058228 0.924891
0.058328 0.924286
0.058428 0.924165
0.058528 0.923803
0.058628 0.923682
0.058728 0.923440
0.058828 0.923440
0.058928 0.923198
0.059027 0.922956
0.059127 0.922835
0.059227 0.922714
0.059327 0.922593
0.059427 0.922472
0.059527 0.922351
0.059627 0.922230
0.059727 0.921988
0.059827 0.921626
0.059926 0.921505
0.060026 0.921263
0.060126 0.920900
0.060226 0.920658
0.060326 0.920416
0.060426 0.920053
0.060526 0.920053
0.060626 0.919690
0.060726 0.919690
0.060826 0.919569
0.060925 0.919448
0.061025 0.919086
0.061125 0.918965
0.061225 0.918965
0.061325 0.918965
0.061425 0.918844
0.061525 0.918239
0.061625 0.918118
0.061725 0.917997
0.061825 0.917876
0.061924 0.917755
0.062024 0.917392
0.062124 0.917150
0.062224 0.916667
0.062324 0.916425
0.062424 0.916183
0.062524 0.915941
0.062624 0.915699
0.062724 0.915457
0.062823 0.914852
0.062923 0.914852
0.063023 0.914611
0.063123 0.914369
0.063223 0.914248
0.063323 0.913885
0.063423 0.913643
0.063523 0.913280
0.063623 0.913280
0.063723 0.913280
0.063822 0.913280
0.063922 0.913159
0.064022 0.913038
0.064122 0.913038
0.064222 0.912554
0.064322 0.912313
0.064422 0.911829
0.064522 0.911466
0.064622 0.911103
0.064722 0.910861
0.064821 0.910740
0.064921 0.909894
0.065021 0.909773
0.065121 0.909289
0.065221 0.908805
0.065321 0.908684
0.065421 0.908321
0.065521 0.908200
0.065621 0.907837
0.065720 0.907233
0.065820 0.907233
0.065920 0.906749
0.066020 0.906749
0.066120 0.906628
0.066220 0.906507
0.066320 0.906386
0.066420 0.906023
0.066520 0.906023
0.066620 0.906023
0.066719 0.905902
0.066819 0.905539
0.066919 0.905177
0.067019 0.905177
0.067119 0.904814
0.067219 0.904451
0.067319 0.903846
0.067419 0.903604
0.067519 0.903483
0.067619 0.903362
0.067718 0.902879
0.067818 0.902395
0.067918 0.902153
0.068018 0.901790
0.068118 0.901669
0.068218 0.901185
0.068318 0.901064
0.068418 0.900701
0.068518 0.900460
0.068617 0.900339
0.068717 0.900097
0.068817 0.899371
0.068917 0.899371
0.069017 0.899371
0.069117 0.899371
0.069217 0.899008
0.069317 0.898645
0.069417 0.898283
0.069517 0.898162
0.069616 0.898041
0.069716 0.897678
0.069816 0.897436
0.069916 0.897315
0.070016 0.897315
0.070116 0.896831
0.070216 0.896589
0.070316 0.896347
0.070416 0.896347
0.070515 0.895985
0.070615 0.895743
0.070715 0.895501
0.070815 0.895138
0.070915 0.894654
0.071015 0.894291
0.071115 0.893807
0.071215 0.893566
0.071315 0.893203
0.071415 0.892961
0.071514 0.892840
0.071614 0.892598
0.071714 0.892598
0.071814 0.892356
0.071914 0.891993
0.072014 0.891872
0.072114 0.891872
0.072214 0.891268
0.072314 0.891026
0.072414 0.890542
0.072513 0.890300
0.072613 0.890179
0.072713 0.889695
0.072813 0.889695
0.072913 0.888849
0.073013 0.888728
0.073113 0.888123
0.073213 0.888002
0.073313 0.887881
0.073412 0.887639
0.073512 0.887397
0.073612 0.887155
0.073712 0.887034
0.073812 0.886792
0.073912 0.886188
0.074012 0.885946
0.074112 0.885583
0.074212 0.885099
0.074312 0.884736
0.074411 0.884615
0.074511 0.884132
0.074611 0.883890
0.074711 0.883527
0.074811 0.883406
0.074911 0.882922
0.075011 0.882801
0.075111 0.882680
0.075211 0.881834
0.075311 0.881713
0.075410 0.881713
0.075510 0.881471
0.075610 0.881471
0.075710 0.881471
0.075810 0.881471
0.075910 0.881229
0.076010 0.881229
0.076110 0.880745
0.076210 0.880624
0.076309 0.880624
0.076409 0.880503
0.076509 0.880261
0.076609 0.880140
0.076709 0.879657
0.076809 0.879536
0.076909 0.879173
0.077009 0.878689
0.077109 0.878568
0.077209 0.878447
0.077308 0.878205
0.077408 0.878084
0.077508 0.877600
0.077608 0.877358
0.077708 0.877358
0.077808 0.877358
0.077908 0.877238
0.078008 0.876875
0.078108 0.876512
0.078208 0.876270
0.078307 0.875786
0.078407 0.875786
0.078507 0.875302
0.078607 0.875181
0.078707 0.874940
0.078807 0.874940
0.078907 0.874577
0.079007 0.874335
0.079107 0.874214
0.079206 0.873851
0.079306 0.873488
0.079406 0.873246
0.079506 0.872883
0.079606 0.872642
0.079706 0.872521
0.079806 0.872521
0.079906 0.872279
0.080006 0.871916
0.080106 0.871674
0.080205 0.871311
0.080305 0.870948
0.080405 0.870948
0.080505 0.870706
0.080605 0.870464
0.080705 0.870102
0.080805 0.869860
0.080905 0.869739
0.081005 0.869497
0.081104 0.869134
0.081204 0.868892
0.081304 0.868408
0.081404 0.868408
0.081504 0.868287
0.081604 0.868045
0.081704 0.867441
0.081804 0.867441
0.081904 0.867441
0.082004 0.867078
0.082103 0.866715
0.082203 0.866594
0.082303 0.866473
0.082403 0.866110
0.082503 0.865747
0.082603 0.865506
0.082703 0.865264
0.082803 0.865143
0.082903 0.864901
0.083003 0.864901
0.083102 0.864780
0.083202 0.864538
0.083302 0.864175
0.083402 0.863812
0.083502 0.863328
0.083602 0.862966
0.083702 0.862845
0.083802 0.862724
0.083902 0.861756
0.084001 0.861272
0.084101 0.861151
0.084201 0.860789
0.084301 0.860305
0.084401 0.859942
0.084501 0.859821
0.084601 0.859700
0.084701 0.859337
0.084801 0.858491
0.084901 0.858128
0.085000 0.858128
0.085100 0.857644
0.085200 0.857402
0.085300 0.857281
0.085400 0.857281
0.085500 0.857039
0.085600 0.857039
0.085700 0.856918
0.085800 0.856434
0.085900 0.856313
0.085999 0.856072
0.086099 0.855830
0.086199 0.855709
0.086299 0.855225
0.086399 0.854741
0.086499 0.854378
0.086599 0.854378
0.086699 0.854015
0.086799 0.853532
0.086898 0.853290
0.086998 0.852927
0.087098 0.852201
0.087198 0.852080
0.087298 0.851838
0.087398 0.851355
0.087498 0.851355
0.087598 0.850871
0.087698 0.850508
0.087798 0.850024
0.087897 0.849903
0.087997 0.849782
0.088097 0.849419
0.088197 0.848936
0.088297 0.848694
0.088397 0.848573
0.088497 0.848331
0.088597 0.848089
0.088697 0.848089
0.088796 0.847605
0.088896 0.847363
0.088996 0.847363
0.089096 0.847121
0.089196 0.846638
0.089296 0.846275
0.089396 0.846154
0.089496 0.845791
0.089596 0.845307
0.089696 0.845307
0.089795 0.845186
0.089895 0.844944
0.089995 0.844702
0.090095 0.844098
0.090195 0.843977
0.090295 0.843372
0.090395 0.843009
0.090495 0.843009
0.090595 0.843009
0.090695 0.842646
0.090794 0.842525
0.090894 0.842163
0.090994 0.842042
0.091094 0.842042
0.091194 0.841195
0.091294 0.840832
0.091394 0.840227
0.091494 0.839865
0.091594 0.839744
0.091693 0.839139
0.091793 0.839018
0.091893 0.838897
0.091993 0.838897
0.092093 0.838655
0.092193 0.837687
0.092293 0.837446
0.092393 0.837325
0.092493 0.836962
0.092593 0.836962
0.092692 0.836962
0.092792 0.836720
0.092892 0.836478
0.092992 0.836115
0.093092 0.835994
0.093192 0.835873
0.093292 0.835752
0.093392 0.835631
0.093492 0.835269
0.093592 0.834422
0.093691 0.833696
0.093791 0.833575
0.093891 0.833212
0.093991 0.832729
0.094091 0.832487
0.094191 0.832366
0.094291 0.832124
0.094391 0.831882
0.094491 0.831398
0.094590 0.831035
0.094690 0.830552
0.094790 0.830189
0.094890 0.830068
0.094990 0.829947
0.095090 0.829705
0.095190 0.829342
0.095290 0.828979
0.095390 0.828737
0.095490 0.828374
0.095589 0.828254
0.095689 0.828133
0.095789 0.827770
0.095889 0.827649
0.095989 0.827528
0.096089 0.827407
0.096189 0.826681
0.096289 0.826439
0.096389 0.826318
0.096489 0.826197
0.096588 0.825714
0.096688 0.825472
0.096788 0.824867
0.096888 0.824625
0.096988 0.824262
0.097088 0.824020
0.097188 0.823899
0.097288 0.823778
0.097388 0.823537
0.097487 0.823053
0.097587 0.822690
0.097687 0.822448
0.097787 0.822448
0.097887 0.822327
0.097987 0.822327
0.098087 0.822327
0.098187 0.822085
0.098287 0.821843
0.098387 0.821480
0.098486 0.821239
0.098586 0.821118
0.098686 0.820876
0.098786 0.820392
0.098886 0.820150
0.098986 0.820029
0.099086 0.819666
0.099186 0.819666
0.099286 0.819182
0.099385 0.819061
0.099485 0.818940
0.099585 0.818820
0.099685 0.818336
0.099785 0.817973
0.099885 0.817731
0.099985 0.817489
0.100085 0.817247
0.100185 0.817005
0.100285 0.816884
0.100384 0.816763
0.100484 0.816401
0.100584 0.816159
0.100684 0.815917
0.100784 0.815554
0.100884 0.815312
0.100984 0.815191
0.101084 0.815070
0.101184 0.814949
0.101284 0.814828
0.101383 0.814586
0.101483 0.813982
0.101583 0.813498
0.101683 0.813135
0.101783 0.812772
0.101883 0.812409
0.101983 0.812167
0.102083 0.811925
0.102183 0.811563
0.102282 0.810958
0.102382 0.810474
0.102482 0.810232
0.102582 0.809990
0.102682 0.809869
0.102782 0.809869
0.102882 0.809507
0.102982 0.809265
0.103082 0.809265
0.103182 0.808902
0.103281 0.808539
0.103381 0.808539
0.103481 0.808418
0.103581 0.808297
0.103681 0.807934
0.103781 0.807692
0.103881 0.807329
0.103981 0.807088
0.104081 0.806967
0.104181 0.806604
0.104280 0.806362
0.104380 0.806120
0.104480 0.805999
0.104580 0.805515
0.104680 0.805152
0.104780 0.805152
0.104880 0.805031
0.104980 0.804790
0.105080 0.804064
0.105179 0.803701
0.105279 0.803459
0.105379 0.803338
0.105479 0.803338
0.105579 0.803096
0.105679 0.802733
0.105779 0.802371
0.105879 0.801766
0.105979 0.801645
0.106079 0.801403
0.106178 0.800798
0.106278 0.800677
0.106378 0.800677
0.106478 0.800194
0.106578 0.799952
0.106678 0.799831
0.106778 0.799589
0.106878 0.799105
0.106978 0.798984
