# Threshold Efficiency
0.000988 1.000000
0.001088 1.000000
0.001188 1.000000
0.001287 1.000000
0.001387 1.000000
0.001487 1.000000
0.001587 1.000000
0.001687 1.000000
0.001787 1.000000
0.001887 1.000000
0.001987 1.000000
0.002087 1.000000
0.002186 1.000000
0.002286 1.000000
0.002386 1.000000
0.002486 1.000000
0.002586 1.000000
0.002686 1.000000
0.002786 1.000000
0.002886 1.000000
0.002986 1.000000
0.003086 1.000000
0.003185 1.000000
0.003285 1.000000
0.003385 1.000000
0.003485 1.000000
0.003585 1.000000
0.003685 1.000000
0.003785 1.000000
0.003885 1.000000
0.003985 1.000000
0.004085 1.000000
0.004184 1.000000
0.004284 1.000000
0.004384 1.000000
0.004484 1.000000
0.004584 1.000000
0.004684 1.000000
0.004784 1.000000
0.004884 1.000000
0.004984 1.000000
0.005083 1.000000
0.005183 1.000000
0.005283 1.000000
0.005383 1.000000
0.005483 1.000000
0.005583 1.000000
0.005683 1.000000
0.005783 1.000000
0.005883 1.000000
0.005983 1.000000
0.006082 1.000000
0.006182 1.000000
0.006282 1.000000
0.006382 1.000000
0.006482 1.000000
0.006582 1.000000
0.006682 1.000000
0.006782 1.000000
0.006882 1.000000
0.006982 1.000000
0.007081 1.000000
0.007181 1.000000
0.007281 1.000000
0.007381 1.000000
0.007481 1.000000
0.007581 1.000000
0.007681 1.000000
0.007781 1.000000
0.007881 1.000000
0.007980 1.000000
0.008080 1.000000
0.008180 1.000000
0.008280 1.000000
0.008380 1.000000
0.008480 1.000000
0.008580 1.000000
0.008680 1.000000
0.008780 1.000000
0.008880 1.000000
0.008979 1.000000
0.009079 1.000000
0.009179 1.000000
0.009279 1.000000
0.009379 1.000000
0.009479 1.000000
0.009579 1.000000
0.009679 1.000000
0.009779 1.000000
0.009879 1.000000
0.009978 1.000000
0.010078 1.000000
0.010178 1.000000
0.010278 1.000000
0.010378 1.000000
0.010478 1.000000
0.010578 1.000000
0.010678 1.000000
0.010778 1.000000
0.010877 1.000000
0.010977 1.000000
0.011077 1.000000
0.011177 1.000000
0.011277 1.000000
0.011377 1.000000
0.011477 1.000000
0.011577 1.000000
0.011677 1.000000
0.011777 1.000000
0.011876 1.000000
0.011976 1.000000
0.012076 1.000000
0.012176 1.000000
0.012276 1.000000
0.012376 1.000000
0.012476 1.000000
0.012576 1.000000
0.012676 1.000000
0.012775 1.000000
0.012875 1.000000
0.012975 1.000000
0.013075 1.000000
0.013175 1.000000
0.013275 1.000000
0.013375 1.000000
0.013475 1.000000
0.013575 1.000000
0.013675 1.000000
0.013774 1.000000
0.013874 1.000000
0.013974 1.000000
0.014074 1.000000
0.014174 1.000000
0.014274 1.000000
0.014374 1.000000
0.014474 1.000000
0.014574 1.000000
0.014674 1.000000
0.014773 1.000000
0.014873 1.000000
0.014973 1.000000
0.015073 1.000000
0.015173 1.000000
0.015273 1.000000
0.015373 1.000000
0.015473 1.000000
0.015573 1.000000
0.015672 1.000000
0.015772 1.000000
0.015872 1.000000
0.015972 1.000000
0.016072 1.000000
0.016172 1.000000
0.016272 1.000000
0.016372 1.000000
0.016472 1.000000
0.016572 1.000000
0.016671 1.000000
0.016771 1.000000
0.016871 1.000000
0.016971 1.000000
0.017071 1.000000
0.017171 1.000000
0.017271 1.000000
0.017371 1.000000
0.017471 1.000000
0.017571 1.000000
0.017670 1.000000
0.017770 1.000000
