# Threshold Efficiency
0.005072 0.999381
0.005172 0.999381
0.005271 0.999381
0.005370 0.999381
0.005470 0.999381
0.005569 0.999381
0.005668 0.999381
0.005768 0.999381
0.005867 0.999381
0.005967 0.999381
0.006066 0.999381
0.006165 0.999381
0.006265 0.999381
0.006364 0.999381
0.006463 0.998762
0.006563 0.998762
0.006662 0.998762
0.006761 0.998762
0.006861 0.998762
0.006960 0.998762
0.007060 0.998762
0.007159 0.998762
0.007258 0.998762
0.007358 0.998762
0.007457 0.998762
0.007556 0.998762
0.007656 0.998762
0.007755 0.998762
0.007855 0.998762
0.007954 0.998762
0.008053 0.998762
0.008153 0.998762
0.008252 0.998762
0.008351 0.998762
0.008451 0.998142
0.008550 0.998142
0.008650 0.998142
0.008749 0.998142
0.008848 0.998142
0.008948 0.998142
0.009047 0.998142
0.009146 0.998142
0.009246 0.998142
0.009345 0.998142
0.009444 0.998142
0.009544 0.998142
0.009643 0.997523
0.009743 0.996904
0.009842 0.996285
0.009941 0.996285
0.010041 0.996285
0.010140 0.995666
0.010239 0.995666
0.010339 0.995666
0.010438 0.995666
0.010538 0.995666
0.010637 0.995666
0.010736 0.995666
0.010836 0.995666
0.010935 0.995666
0.011034 0.995666
0.011134 0.995666
0.011233 0.995666
0.011332 0.995046
0.011432 0.995046
0.011531 0.995046
0.011631 0.994427
0.011730 0.994427
0.011829 0.994427
0.011929 0.993808
0.012028 0.993808
0.012127 0.993808
0.012227 0.993808
0.012326 0.993808
0.012426 0.993808
0.012525 0.993808
0.012624 0.993808
0.012724 0.993808
0.012823 0.993189
0.012922 0.993189
0.013022 0.993189
0.013121 0.992570
0.013220 0.991950
0.013320 0.991950
0.013419 0.991331
0.013519 0.991331
0.013618 0.991331
0.013717 0.991331
0.013817 0.991331
0.013916 0.991331
0.014015 0.991331
0.014115 0.990712
0.014214 0.990712
0.014314 0.990712
0.014413 0.990712
0.014512 0.990712
0.014612 0.990712
0.014711 0.990712
0.014810 0.990712
0.014910 0.990712
0.015009 0.990712
0.015109 0.990712
0.015208 0.990712
0.015307 0.990712
0.015407 0.990712
0.015506 0.990712
0.015605 0.990712
0.015705 0.990712
0.015804 0.990712
0.015903 0.990712
0.016003 0.990712
0.016102 0.990712
0.016202 0.990712
0.016301 0.990712
0.016400 0.990712
0.016500 0.990712
0.016599 0.990712
0.016698 0.990712
0.016798 0.990712
0.016897 0.990712
0.016997 0.990712
0.017096 0.990093
0.017195 0.990093
0.017295 0.990093
0.017394 0.990093
0.017493 0.990093
0.017593 0.990093
0.017692 0.990093
0.017791 0.990093
0.017891 0.989474
0.017990 0.989474
0.018090 0.989474
0.018189 0.989474
0.018288 0.989474
0.018388 0.989474
0.018487 0.989474
0.018586 0.989474
0.018686 0.989474
0.018785 0.989474
0.018885 0.989474
0.018984 0.989474
0.019083 0.989474
0.019183 0.989474
0.019282 0.989474
0.019381 0.989474
0.019481 0.989474
0.019580 0.989474
0.019679 0.989474
0.019779 0.989474
0.019878 0.988854
0.019978 0.988854
0.020077 0.988854
0.020176 0.988854
0.020276 0.988854
0.020375 0.988854
0.020474 0.988854
0.020574 0.988854
0.020673 0.988854
0.020773 0.988854
0.020872 0.988235
0.020971 0.987616
0.021071 0.987616
