# Threshold Efficiency
0.005072 1.000000
0.005172 1.000000
0.005271 1.000000
0.005370 1.000000
0.005470 1.000000
0.005569 1.000000
0.005668 1.000000
0.005768 1.000000
0.005867 1.000000
0.005967 1.000000
0.006066 1.000000
0.006165 1.000000
0.006265 1.000000
0.006364 1.000000
0.006463 1.000000
0.006563 1.000000
0.006662 1.000000
0.006761 1.000000
0.006861 1.000000
0.006960 1.000000
0.007060 1.000000
0.007159 1.000000
0.007258 1.000000
0.007358 1.000000
0.007457 1.000000
0.007556 1.000000
0.007656 1.000000
0.007755 1.000000
0.007855 1.000000
0.007954 1.000000
0.008053 1.000000
0.008153 1.000000
0.008252 1.000000
0.008351 1.000000
0.008451 1.000000
0.008550 1.000000
0.008650 1.000000
0.008749 1.000000
0.008848 1.000000
0.008948 1.000000
0.009047 1.000000
0.009146 1.000000
0.009246 1.000000
0.009345 1.000000
0.009444 1.000000
0.009544 1.000000
0.009643 1.000000
0.009743 1.000000
0.009842 1.000000
0.009941 1.000000
0.010041 1.000000
0.010140 1.000000
0.010239 1.000000
0.010339 1.000000
0.010438 1.000000
0.010538 1.000000
0.010637 1.000000
0.010736 1.000000
0.010836 1.000000
0.010935 1.000000
0.011034 1.000000
0.011134 1.000000
0.011233 1.000000
0.011332 1.000000
0.011432 1.000000
0.011531 1.000000
0.011631 1.000000
0.011730 1.000000
0.011829 1.000000
0.011929 1.000000
0.012028 1.000000
0.012127 1.000000
0.012227 1.000000
0.012326 1.000000
0.012426 1.000000
0.012525 1.000000
0.012624 1.000000
0.012724 1.000000
0.012823 1.000000
0.012922 1.000000
0.013022 1.000000
0.013121 1.000000
0.013220 1.000000
0.013320 1.000000
0.013419 1.000000
0.013519 1.000000
0.013618 1.000000
0.013717 1.000000
0.013817 1.000000
0.013916 1.000000
0.014015 1.000000
0.014115 1.000000
0.014214 1.000000
0.014314 1.000000
0.014413 1.000000
0.014512 1.000000
0.014612 1.000000
0.014711 1.000000
0.014810 1.000000
0.014910 1.000000
0.015009 1.000000
0.015109 1.000000
0.015208 1.000000
0.015307 1.000000
0.015407 1.000000
0.015506 1.000000
0.015605 1.000000
0.015705 1.000000
0.015804 1.000000
0.015903 1.000000
0.016003 1.000000
0.016102 1.000000
0.016202 1.000000
0.016301 1.000000
0.016400 1.000000
0.016500 1.000000
0.016599 1.000000
0.016698 1.000000
0.016798 1.000000
0.016897 1.000000
0.016997 1.000000
0.017096 1.000000
0.017195 1.000000
0.017295 1.000000
0.017394 1.000000
0.017493 1.000000
0.017593 1.000000
0.017692 1.000000
0.017791 1.000000
0.017891 1.000000
0.017990 1.000000
0.018090 1.000000
0.018189 1.000000
0.018288 1.000000
0.018388 1.000000
0.018487 1.000000
0.018586 1.000000
0.018686 1.000000
0.018785 1.000000
0.018885 1.000000
0.018984 1.000000
0.019083 1.000000
0.019183 1.000000
0.019282 1.000000
0.019381 1.000000
0.019481 1.000000
0.019580 1.000000
0.019679 1.000000
0.019779 1.000000
0.019878 1.000000
0.019978 1.000000
0.020077 1.000000
0.020176 1.000000
0.020276 1.000000
0.020375 1.000000
0.020474 1.000000
0.020574 1.000000
0.020673 1.000000
0.020773 1.000000
0.020872 1.000000
0.020971 1.000000
0.021071 1.000000
0.021170 1.000000
0.021269 1.000000
0.021369 1.000000
0.021468 1.000000
0.021568 1.000000
0.021667 1.000000
0.021766 1.000000
0.021866 1.000000
0.021965 1.000000
0.022064 1.000000
0.022164 1.000000
0.022263 1.000000
0.022362 0.999389
0.022462 0.999389
0.022561 0.999389
0.022661 0.999389
0.022760 0.999389
0.022859 0.999389
0.022959 0.999389
0.023058 0.999389
0.023157 0.999389
0.023257 0.999389
0.023356 0.999389
0.023456 0.999389
0.023555 0.999389
0.023654 0.999389
0.023754 0.999389
0.023853 0.999389
0.023952 0.999389
0.024052 0.999389
0.024151 0.999389
0.024250 0.999389
0.024350 0.999389
0.024449 0.999389
0.024549 0.999389
0.024648 0.999389
0.024747 0.999389
0.024847 0.999389
0.024946 0.999389
0.025045 0.999389
0.025145 0.999389
0.025244 0.999389
0.025344 0.999389
0.025443 0.999389
0.025542 0.999389
0.025642 0.999389
0.025741 0.999389
0.025840 0.999389
0.025940 0.999389
0.026039 0.999389
0.026139 0.999389
0.026238 0.999389
0.026337 0.999389
0.026437 0.999389
0.026536 0.999389
0.026635 0.999389
0.026735 0.999389
0.026834 0.999389
0.026933 0.999389
0.027033 0.999389
0.027132 0.999389
0.027232 0.999389
0.027331 0.999389
0.027430 0.999389
0.027530 0.999389
0.027629 0.999389
0.027728 0.999389
0.027828 0.999389
0.027927 0.999389
0.028027 0.999389
0.028126 0.999389
0.028225 0.999389
0.028325 0.999389
0.028424 0.999389
0.028523 0.999389
0.028623 0.999389
0.028722 0.999389
0.028821 0.999389
0.028921 0.999389
0.029020 0.999389
0.029120 0.999389
0.029219 0.999389
0.029318 0.999389
0.029418 0.999389
0.029517 0.999389
0.029616 0.999389
0.029716 0.999389
0.029815 0.999389
0.029915 0.999389
0.030014 0.999389
0.030113 0.999389
0.030213 0.999389
0.030312 0.999389
0.030411 0.999389
0.030511 0.999389
0.030610 0.999389
0.030709 0.999389
0.030809 0.999389
0.030908 0.999389
0.031008 0.999389
0.031107 0.999389
0.031206 0.999389
0.031306 0.999389
0.031405 0.999389
0.031504 0.999389
0.031604 0.999389
0.031703 0.999389
0.031803 0.999389
0.031902 0.999389
0.032001 0.999389
0.032101 0.999389
0.032200 0.999389
0.032299 0.999389
0.032399 0.999389
0.032498 0.999389
0.032598 0.999389
0.032697 0.999389
0.032796 0.999389
0.032896 0.999389
0.032995 0.999389
0.033094 0.999389
0.033194 0.999389
0.033293 0.999389
0.033392 0.999389
0.033492 0.999389
0.033591 0.999389
0.033691 0.999389
0.033790 0.999389
0.033889 0.999389
0.033989 0.999389
0.034088 0.999389
0.034187 0.999389
0.034287 0.999389
0.034386 0.999389
0.034486 0.999389
0.034585 0.999389
0.034684 0.999389
0.034784 0.999389
0.034883 0.999389
0.034982 0.999389
0.035082 0.999389
0.035181 0.999389
0.035280 0.999389
0.035380 0.999389
0.035479 0.999389
0.035579 0.999389
0.035678 0.999389
0.035777 0.999389
0.035877 0.999389
0.035976 0.999389
0.036075 0.999389
0.036175 0.999389
0.036274 0.999389
0.036374 0.999389
0.036473 0.999389
0.036572 0.999389
0.036672 0.999389
0.036771 0.999389
0.036870 0.999389
0.036970 0.999389
0.037069 0.999389
0.037168 0.999389
0.037268 0.999389
0.037367 0.999389
0.037467 0.999389
0.037566 0.999389
0.037665 0.999389
0.037765 0.999389
0.037864 0.999389
0.037963 0.999389
0.038063 0.999389
0.038162 0.999389
0.038262 0.999389
0.038361 0.999389
0.038460 0.999389
0.038560 0.999389
0.038659 0.999389
0.038758 0.999389
0.038858 0.999389
0.038957 0.999389
0.039057 0.999389
0.039156 0.999389
0.039255 0.999389
0.039355 0.999389
0.039454 0.999389
0.039553 0.999389
0.039653 0.999389
0.039752 0.999389
0.039851 0.998778
0.039951 0.998778
0.040050 0.998778
0.040150 0.998778
0.040249 0.998778
0.040348 0.998778
0.040448 0.998778
0.040547 0.998778
0.040646 0.998778
0.040746 0.998778
0.040845 0.998778
0.040945 0.998778
0.041044 0.998778
0.041143 0.998778
0.041243 0.998778
0.041342 0.998778
0.041441 0.998778
0.041541 0.998778
0.041640 0.998778
0.041739 0.998166
0.041839 0.998166
0.041938 0.998166
0.042038 0.998166
0.042137 0.998166
0.042236 0.998166
0.042336 0.998166
0.042435 0.998166
0.042534 0.998166
0.042634 0.998166
0.042733 0.998166
0.042833 0.998166
0.042932 0.998166
0.043031 0.998166
0.043131 0.998166
0.043230 0.998166
0.043329 0.998166
0.043429 0.998166
0.043528 0.998166
0.043628 0.998166
0.043727 0.998166
0.043826 0.998166
0.043926 0.998166
0.044025 0.998166
0.044124 0.998166
0.044224 0.998166
0.044323 0.998166
0.044422 0.998166
0.044522 0.998166
0.044621 0.998166
0.044721 0.998166
0.044820 0.998166
0.044919 0.998166
0.045019 0.998166
0.045118 0.998166
0.045217 0.998166
0.045317 0.998166
0.045416 0.998166
0.045516 0.998166
0.045615 0.998166
0.045714 0.998166
