# Threshold Efficiency
0.009205 0.999627
0.009304 0.999627
0.009403 0.999627
0.009501 0.999627
0.009600 0.999627
0.009699 0.999627
0.009798 0.999627
0.009896 0.999627
0.009995 0.999627
0.010094 0.999627
0.010193 0.999627
0.010291 0.999627
0.010390 0.999627
0.010489 0.999627
0.010588 0.999627
0.010686 0.999627
0.010785 0.999627
0.010884 0.999627
0.010983 0.999627
0.011081 0.999627
0.011180 0.999627
0.011279 0.999627
0.011378 0.999627
0.011476 0.999627
0.011575 0.999627
0.011674 0.999253
0.011773 0.999253
0.011871 0.999253
0.011970 0.999253
0.012069 0.999253
0.012168 0.999253
0.012266 0.999253
0.012365 0.999253
0.012464 0.999253
0.012563 0.998880
0.012661 0.998880
0.012760 0.998880
0.012859 0.998880
0.012958 0.998880
0.013056 0.998880
0.013155 0.998880
0.013254 0.998880
0.013353 0.998880
0.013451 0.998880
0.013550 0.998880
0.013649 0.998880
0.013748 0.998880
0.013846 0.998880
0.013945 0.998880
0.014044 0.998880
0.014143 0.998507
0.014241 0.998507
0.014340 0.998507
0.014439 0.998507
0.014538 0.998507
0.014636 0.998507
0.014735 0.998507
0.014834 0.998507
0.014933 0.998507
0.015031 0.998134
0.015130 0.998134
0.015229 0.998134
0.015328 0.998134
0.015426 0.998134
0.015525 0.998134
0.015624 0.998134
0.015723 0.997760
0.015821 0.997760
0.015920 0.997760
0.016019 0.997760
0.016118 0.997760
0.016216 0.997760
0.016315 0.997760
0.016414 0.997760
0.016513 0.997387
0.016611 0.997387
0.016710 0.997387
0.016809 0.997387
0.016908 0.997387
0.017006 0.997387
0.017105 0.997387
0.017204 0.997014
0.017303 0.997014
0.017401 0.997014
0.017500 0.996641
0.017599 0.996641
0.017698 0.996267
0.017796 0.996267
0.017895 0.995521
0.017994 0.995521
0.018093 0.995521
0.018191 0.995521
0.018290 0.995521
0.018389 0.995521
0.018488 0.995147
0.018586 0.995147
0.018685 0.995147
0.018784 0.995147
0.018883 0.995147
0.018981 0.995147
0.019080 0.995147
0.019179 0.995147
0.019278 0.994774
0.019376 0.994774
0.019475 0.994774
0.019574 0.994774
0.019673 0.994774
0.019771 0.994774
0.019870 0.994774
0.019969 0.994774
0.020068 0.994774
0.020166 0.994401
0.020265 0.994401
0.020364 0.994401
0.020463 0.994401
0.020561 0.994401
0.020660 0.994401
0.020759 0.994401
0.020858 0.994401
0.020956 0.994028
0.021055 0.994028
0.021154 0.994028
0.021253 0.994028
0.021351 0.994028
0.021450 0.994028
0.021549 0.994028
0.021648 0.994028
0.021746 0.993654
0.021845 0.993281
0.021944 0.993281
0.022043 0.993281
0.022142 0.993281
0.022240 0.993281
0.022339 0.993281
0.022438 0.993281
0.022537 0.993281
0.022635 0.993281
0.022734 0.993281
0.022833 0.993281
0.022932 0.992908
0.023030 0.992535
0.023129 0.992535
0.023228 0.992535
0.023327 0.992535
0.023425 0.992535
0.023524 0.992535
0.023623 0.992535
0.023722 0.992535
0.023820 0.992161
0.023919 0.991788
0.024018 0.991788
0.024117 0.991788
0.024215 0.991788
0.024314 0.991788
0.024413 0.991788
0.024512 0.991788
0.024610 0.991788
0.024709 0.991788
0.024808 0.991788
0.024907 0.991788
0.025005 0.991788
0.025104 0.991788
0.025203 0.991788
0.025302 0.991788
0.025400 0.991788
0.025499 0.991788
0.025598 0.991788
0.025697 0.991788
0.025795 0.991788
0.025894 0.991788
0.025993 0.991788
0.026092 0.991788
0.026190 0.991788
0.026289 0.991788
0.026388 0.991788
0.026487 0.991788
0.026585 0.991788
0.026684 0.991788
0.026783 0.991788
0.026882 0.991788
0.026980 0.991788
0.027079 0.991788
0.027178 0.991788
0.027277 0.991788
0.027375 0.991788
0.027474 0.991788
0.027573 0.991788
0.027672 0.991788
0.027770 0.991415
0.027869 0.991415
0.027968 0.991415
0.028067 0.991415
0.028165 0.991415
0.028264 0.991415
0.028363 0.991415
0.028462 0.991415
0.028560 0.990668
0.028659 0.990668
0.028758 0.990668
0.028857 0.990295
0.028955 0.990295
0.029054 0.990295
0.029153 0.989922
0.029252 0.989922
0.029350 0.989922
0.029449 0.989922
0.029548 0.989922
0.029647 0.989922
0.029745 0.989922
0.029844 0.989548
0.029943 0.989548
0.030042 0.989548
0.030140 0.989548
0.030239 0.989548
0.030338 0.989548
0.030437 0.989175
0.030535 0.989175
0.030634 0.988802
0.030733 0.988802
0.030832 0.988802
0.030930 0.988802
0.031029 0.988802
0.031128 0.988802
0.031227 0.988429
0.031325 0.988429
0.031424 0.988429
0.031523 0.988429
0.031622 0.988429
0.031720 0.988429
0.031819 0.988429
0.031918 0.988429
0.032017 0.988429
0.032115 0.988429
0.032214 0.988429
0.032313 0.988429
0.032412 0.988055
0.032510 0.988055
0.032609 0.987682
0.032708 0.987682
0.032807 0.987682
0.032905 0.987682
0.033004 0.987682
0.033103 0.987682
0.033202 0.987682
0.033300 0.987682
0.033399 0.987682
0.033498 0.987682
0.033597 0.987682
0.033695 0.987682
0.033794 0.987682
0.033893 0.987682
0.033992 0.987682
0.034090 0.987682
0.034189 0.987682
0.034288 0.987682
0.034387 0.987682
0.034485 0.987682
0.034584 0.987682
0.034683 0.987682
0.034782 0.987309
0.034880 0.987309
0.034979 0.987309
0.035078 0.987309
0.035177 0.987309
0.035275 0.987309
0.035374 0.987309
0.035473 0.986935
0.035572 0.986935
0.035670 0.986935
0.035769 0.986935
0.035868 0.986562
0.035967 0.986562
0.036065 0.986562
0.036164 0.986562
0.036263 0.986562
0.036362 0.986562
0.036460 0.986562
0.036559 0.986562
0.036658 0.986562
0.036757 0.986562
0.036855 0.986562
0.036954 0.986562
0.037053 0.986189
0.037152 0.986189
0.037250 0.986189
0.037349 0.986189
0.037448 0.986189
0.037547 0.985816
0.037645 0.985816
0.037744 0.985442
0.037843 0.985069
0.037942 0.985069
0.038040 0.984696
0.038139 0.984696
0.038238 0.984696
0.038337 0.984696
0.038435 0.984696
0.038534 0.984696
0.038633 0.984323
0.038732 0.984323
0.038830 0.984323
0.038929 0.983949
0.039028 0.983949
0.039127 0.983949
0.039225 0.983203
0.039324 0.982829
0.039423 0.982829
0.039522 0.982829
0.039620 0.982829
0.039719 0.982829
0.039818 0.982829
0.039917 0.982829
0.040015 0.982456
0.040114 0.982456
0.040213 0.982456
0.040312 0.982456
0.040410 0.982083
0.040509 0.982083
0.040608 0.982083
0.040707 0.982083
0.040805 0.982083
0.040904 0.982083
0.041003 0.982083
0.041102 0.982083
0.041200 0.982083
0.041299 0.982083
0.041398 0.982083
0.041497 0.982083
0.041595 0.982083
0.041694 0.982083
0.041793 0.982083
0.041892 0.982083
0.041990 0.982083
0.042089 0.982083
0.042188 0.982083
0.042287 0.982083
0.042385 0.982083
0.042484 0.982083
0.042583 0.982083
0.042682 0.982083
0.042780 0.982083
0.042879 0.982083
0.042978 0.981336
0.043077 0.981336
0.043175 0.981336
0.043274 0.981336
0.043373 0.981336
0.043472 0.980963
0.043570 0.980963
0.043669 0.980590
0.043768 0.980590
0.043867 0.980590
0.043965 0.980216
0.044064 0.980216
0.044163 0.980216
0.044262 0.980216
0.044360 0.980216
0.044459 0.980216
0.044558 0.980216
0.044657 0.980216
0.044755 0.980216
0.044854 0.980216
0.044953 0.980216
0.045052 0.980216
0.045150 0.979843
0.045249 0.979843
0.045348 0.979843
