# Threshold Efficiency
0.009205 1.000000
0.009304 1.000000
0.009403 1.000000
0.009501 1.000000
0.009600 1.000000
0.009699 1.000000
0.009798 1.000000
0.009896 1.000000
0.009995 1.000000
0.010094 1.000000
0.010193 1.000000
0.010291 1.000000
0.010390 1.000000
0.010489 1.000000
0.010588 1.000000
0.010686 1.000000
0.010785 1.000000
0.010884 1.000000
0.010983 1.000000
0.011081 1.000000
0.011180 1.000000
0.011279 1.000000
0.011378 1.000000
0.011476 1.000000
0.011575 1.000000
0.011674 1.000000
0.011773 1.000000
0.011871 1.000000
0.011970 1.000000
0.012069 1.000000
0.012168 1.000000
0.012266 1.000000
0.012365 1.000000
0.012464 1.000000
0.012563 1.000000
0.012661 1.000000
0.012760 1.000000
0.012859 1.000000
0.012958 1.000000
0.013056 1.000000
0.013155 1.000000
0.013254 1.000000
0.013353 1.000000
0.013451 1.000000
0.013550 1.000000
0.013649 1.000000
0.013748 1.000000
0.013846 1.000000
0.013945 1.000000
0.014044 1.000000
0.014143 1.000000
0.014241 1.000000
0.014340 1.000000
0.014439 1.000000
0.014538 1.000000
0.014636 1.000000
0.014735 1.000000
0.014834 1.000000
0.014933 1.000000
0.015031 1.000000
0.015130 1.000000
0.015229 1.000000
0.015328 1.000000
0.015426 1.000000
0.015525 1.000000
0.015624 1.000000
0.015723 1.000000
0.015821 1.000000
0.015920 1.000000
0.016019 1.000000
0.016118 1.000000
0.016216 1.000000
0.016315 1.000000
0.016414 1.000000
0.016513 1.000000
0.016611 1.000000
0.016710 1.000000
0.016809 0.999639
0.016908 0.999639
0.017006 0.999639
0.017105 0.999639
0.017204 0.999639
0.017303 0.999639
0.017401 0.999639
0.017500 0.999639
0.017599 0.999639
0.017698 0.999639
0.017796 0.999639
0.017895 0.999639
0.017994 0.999639
0.018093 0.999639
0.018191 0.999639
0.018290 0.999639
0.018389 0.999639
0.018488 0.999639
0.018586 0.999639
0.018685 0.999639
0.018784 0.999639
0.018883 0.999639
0.018981 0.999639
0.019080 0.999639
0.019179 0.999639
0.019278 0.999639
0.019376 0.999639
0.019475 0.999639
0.019574 0.999639
0.019673 0.999639
0.019771 0.999639
0.019870 0.999639
0.019969 0.999639
0.020068 0.999639
0.020166 0.999639
0.020265 0.999639
0.020364 0.999639
0.020463 0.999639
0.020561 0.999639
0.020660 0.999639
0.020759 0.999639
0.020858 0.999639
0.020956 0.999639
0.021055 0.999639
0.021154 0.999639
0.021253 0.999639
0.021351 0.999639
0.021450 0.999639
0.021549 0.999639
0.021648 0.999639
0.021746 0.999639
0.021845 0.999639
0.021944 0.999639
0.022043 0.999639
