# Threshold Efficiency
0.001004 0.999772
0.001103 0.999772
0.001203 0.999772
0.001302 0.999772
0.001402 0.999772
0.001501 0.999543
0.001601 0.999543
0.001700 0.999543
0.001800 0.999543
0.001899 0.999543
0.001999 0.999543
0.002098 0.999543
0.002198 0.999543
0.002297 0.999543
0.002397 0.999543
0.002496 0.999543
0.002596 0.999543
0.002695 0.999543
0.002795 0.999543
0.002894 0.999543
0.002994 0.999543
0.003093 0.999543
0.003193 0.999543
0.003292 0.999543
0.003392 0.999543
0.003491 0.999315
0.003591 0.999315
0.003690 0.999315
0.003790 0.999087
0.003889 0.999087
0.003989 0.999087
0.004088 0.999087
0.004188 0.999087
0.004287 0.998859
0.004387 0.998859
0.004486 0.998859
0.004586 0.998859
0.004685 0.998859
0.004785 0.998859
0.004884 0.998859
0.004984 0.998174
0.005083 0.998174
0.005183 0.997946
0.005282 0.997946
0.005382 0.997946
0.005481 0.997489
0.005581 0.997261
0.005680 0.997261
0.005780 0.997261
0.005879 0.997261
0.005979 0.997033
0.006078 0.997033
0.006178 0.996804
0.006277 0.996804
0.006377 0.996576
0.006476 0.996348
0.006576 0.996348
0.006675 0.996120
0.006775 0.996120
0.006874 0.996120
0.006974 0.996120
0.007073 0.995891
0.007173 0.995891
0.007272 0.995891
0.007372 0.995891
0.007471 0.995891
0.007571 0.995891
0.007670 0.995435
0.007770 0.995207
0.007869 0.995207
0.007969 0.995207
0.008068 0.994978
0.008168 0.994978
0.008267 0.994750
0.008367 0.994750
0.008466 0.994750
0.008566 0.994522
0.008665 0.994522
0.008765 0.994065
0.008864 0.994065
0.008964 0.993837
0.009063 0.993837
0.009163 0.993837
0.009262 0.993837
0.009362 0.993837
0.009461 0.993609
0.009561 0.993381
0.009660 0.993381
0.009760 0.993381
0.009859 0.993381
0.009959 0.992924
0.010058 0.992924
0.010158 0.992924
0.010257 0.992924
0.010357 0.992924
0.010456 0.992924
0.010556 0.992924
0.010656 0.992924
0.010755 0.992924
0.010855 0.992924
0.010954 0.992924
0.011054 0.992924
0.011153 0.992924
0.011253 0.992924
0.011352 0.992924
0.011452 0.992696
0.011551 0.992696
0.011651 0.992696
0.011750 0.992467
0.011850 0.992467
0.011949 0.992467
0.012049 0.992239
0.012148 0.992239
0.012248 0.992239
0.012347 0.992011
0.012447 0.992011
0.012546 0.991783
0.012646 0.991783
0.012745 0.991783
0.012845 0.991783
0.012944 0.991783
0.013044 0.991554
0.013143 0.991326
0.013243 0.991326
0.013342 0.991326
0.013442 0.991098
0.013541 0.990870
0.013641 0.990870
0.013740 0.990641
