# Threshold Efficiency
0.001004 1.000000
0.001103 1.000000
0.001203 1.000000
0.001302 1.000000
0.001402 1.000000
0.001501 1.000000
0.001601 1.000000
0.001700 1.000000
0.001800 1.000000
0.001899 1.000000
0.001999 1.000000
0.002098 1.000000
0.002198 1.000000
0.002297 1.000000
0.002397 1.000000
0.002496 1.000000
0.002596 1.000000
0.002695 1.000000
0.002795 1.000000
0.002894 1.000000
0.002994 1.000000
0.003093 1.000000
0.003193 1.000000
0.003292 1.000000
0.003392 1.000000
0.003491 1.000000
0.003591 1.000000
0.003690 1.000000
0.003790 1.000000
0.003889 1.000000
0.003989 1.000000
0.004088 1.000000
0.004188 1.000000
0.004287 1.000000
0.004387 1.000000
0.004486 1.000000
0.004586 1.000000
0.004685 1.000000
0.004785 1.000000
0.004884 1.000000
0.004984 1.000000
0.005083 1.000000
0.005183 1.000000
0.005282 1.000000
0.005382 1.000000
0.005481 1.000000
0.005581 1.000000
0.005680 1.000000
0.005780 1.000000
0.005879 1.000000
0.005979 1.000000
0.006078 1.000000
0.006178 1.000000
0.006277 1.000000
0.006377 1.000000
0.006476 1.000000
0.006576 1.000000
0.006675 1.000000
0.006775 1.000000
0.006874 1.000000
0.006974 1.000000
0.007073 1.000000
0.007173 1.000000
0.007272 1.000000
0.007372 1.000000
0.007471 0.999775
0.007571 0.999775
0.007670 0.999775
0.007770 0.999775
0.007869 0.999549
0.007969 0.999549
0.008068 0.999549
0.008168 0.999549
0.008267 0.999549
0.008367 0.999549
0.008466 0.999549
0.008566 0.999549
0.008665 0.999549
0.008765 0.999549
0.008864 0.999549
0.008964 0.999549
0.009063 0.999549
0.009163 0.999549
0.009262 0.999549
0.009362 0.999549
0.009461 0.999549
0.009561 0.999549
0.009660 0.999549
0.009760 0.999549
0.009859 0.999549
0.009959 0.999549
0.010058 0.999549
0.010158 0.999549
0.010257 0.999549
0.010357 0.999549
0.010456 0.999549
0.010556 0.999549
0.010656 0.999549
0.010755 0.999549
0.010855 0.999549
0.010954 0.999549
0.011054 0.999549
0.011153 0.999549
0.011253 0.999549
0.011352 0.999549
0.011452 0.999549
0.011551 0.999549
0.011651 0.999549
0.011750 0.999549
0.011850 0.999549
0.011949 0.999549
0.012049 0.999549
0.012148 0.999549
0.012248 0.999549
0.012347 0.999549
0.012447 0.999549
0.012546 0.999549
0.012646 0.999549
0.012745 0.999549
0.012845 0.999549
0.012944 0.999549
0.013044 0.999549
0.013143 0.999549
0.013243 0.999549
0.013342 0.999549
0.013442 0.999549
0.013541 0.999549
