# Threshold Efficiency
0.008281 0.998936
0.008380 0.998936
0.008479 0.998936
0.008578 0.998936
0.008678 0.998936
0.008777 0.998936
0.008876 0.998936
0.008975 0.998936
0.009074 0.998936
0.009173 0.998936
0.009272 0.998936
0.009371 0.998936
0.009471 0.998936
0.009570 0.998936
0.009669 0.998936
0.009768 0.998936
0.009867 0.997872
0.009966 0.997872
0.010065 0.997872
0.010164 0.997872
0.010264 0.996809
0.010363 0.996809
0.010462 0.995745
0.010561 0.995745
0.010660 0.995745
0.010759 0.995745
0.010858 0.995745
0.010957 0.995745
0.011057 0.995745
0.011156 0.995745
0.011255 0.995745
0.011354 0.995745
0.011453 0.995745
0.011552 0.995745
0.011651 0.995745
0.011750 0.995745
0.011850 0.995745
0.011949 0.995745
0.012048 0.995745
0.012147 0.994681
0.012246 0.994681
0.012345 0.994681
0.012444 0.994681
0.012544 0.994681
0.012643 0.994681
0.012742 0.994681
0.012841 0.994681
0.012940 0.993617
0.013039 0.993617
0.013138 0.993617
0.013237 0.993617
0.013337 0.993617
0.013436 0.993617
0.013535 0.993617
0.013634 0.993617
0.013733 0.993617
0.013832 0.993617
0.013931 0.992553
0.014030 0.992553
0.014130 0.992553
0.014229 0.992553
0.014328 0.991489
0.014427 0.991489
0.014526 0.990426
0.014625 0.989362
0.014724 0.989362
0.014823 0.989362
0.014923 0.989362
0.015022 0.989362
0.015121 0.989362
0.015220 0.989362
0.015319 0.988298
0.015418 0.988298
0.015517 0.988298
0.015616 0.988298
0.015716 0.988298
0.015815 0.988298
0.015914 0.988298
0.016013 0.988298
0.016112 0.988298
0.016211 0.988298
0.016310 0.988298
0.016409 0.987234
0.016509 0.987234
0.016608 0.987234
0.016707 0.985106
0.016806 0.985106
0.016905 0.985106
0.017004 0.985106
0.017103 0.985106
0.017202 0.985106
0.017302 0.985106
0.017401 0.985106
0.017500 0.985106
0.017599 0.985106
0.017698 0.985106
0.017797 0.985106
0.017896 0.985106
0.017995 0.985106
0.018095 0.984043
0.018194 0.984043
0.018293 0.982979
0.018392 0.982979
0.018491 0.982979
0.018590 0.982979
0.018689 0.982979
0.018788 0.982979
0.018888 0.982979
0.018987 0.982979
0.019086 0.982979
0.019185 0.981915
0.019284 0.981915
0.019383 0.981915
0.019482 0.981915
0.019581 0.981915
0.019681 0.981915
0.019780 0.981915
0.019879 0.981915
0.019978 0.981915
0.020077 0.981915
0.020176 0.981915
0.020275 0.980851
0.020374 0.980851
0.020474 0.980851
0.020573 0.980851
0.020672 0.980851
0.020771 0.980851
0.020870 0.980851
0.020969 0.980851
0.021068 0.980851
0.021168 0.980851
0.021267 0.980851
0.021366 0.980851
0.021465 0.980851
0.021564 0.980851
0.021663 0.979787
0.021762 0.979787
0.021861 0.979787
0.021961 0.979787
0.022060 0.979787
0.022159 0.979787
0.022258 0.979787
0.022357 0.977660
0.022456 0.977660
0.022555 0.977660
0.022654 0.977660
0.022754 0.976596
0.022853 0.976596
0.022952 0.976596
0.023051 0.976596
0.023150 0.976596
0.023249 0.976596
0.023348 0.976596
0.023447 0.976596
0.023547 0.976596
0.023646 0.976596
0.023745 0.976596
0.023844 0.976596
0.023943 0.976596
0.024042 0.976596
0.024141 0.975532
0.024240 0.975532
0.024340 0.975532
0.024439 0.975532
0.024538 0.975532
0.024637 0.974468
0.024736 0.973404
0.024835 0.973404
0.024934 0.973404
0.025033 0.973404
0.025133 0.973404
0.025232 0.973404
0.025331 0.973404
0.025430 0.973404
0.025529 0.973404
0.025628 0.973404
0.025727 0.973404
0.025826 0.973404
0.025926 0.973404
0.026025 0.972340
0.026124 0.971277
0.026223 0.971277
0.026322 0.971277
0.026421 0.971277
0.026520 0.971277
0.026619 0.971277
0.026719 0.971277
0.026818 0.971277
0.026917 0.971277
0.027016 0.971277
0.027115 0.971277
0.027214 0.971277
0.027313 0.971277
0.027412 0.971277
