# Threshold Efficiency
0.008281 1.000000
0.008380 1.000000
0.008479 1.000000
0.008578 1.000000
0.008678 1.000000
0.008777 1.000000
0.008876 1.000000
0.008975 1.000000
0.009074 1.000000
0.009173 1.000000
0.009272 1.000000
0.009371 1.000000
0.009471 1.000000
0.009570 1.000000
0.009669 1.000000
0.009768 1.000000
0.009867 1.000000
0.009966 1.000000
0.010065 1.000000
0.010164 1.000000
0.010264 1.000000
0.010363 1.000000
0.010462 1.000000
0.010561 1.000000
0.010660 1.000000
0.010759 1.000000
0.010858 1.000000
0.010957 1.000000
0.011057 1.000000
0.011156 1.000000
0.011255 1.000000
0.011354 1.000000
0.011453 1.000000
0.011552 1.000000
0.011651 1.000000
0.011750 1.000000
0.011850 1.000000
0.011949 1.000000
0.012048 1.000000
0.012147 1.000000
0.012246 1.000000
0.012345 1.000000
0.012444 1.000000
0.012544 1.000000
0.012643 1.000000
0.012742 1.000000
0.012841 1.000000
0.012940 1.000000
0.013039 1.000000
0.013138 1.000000
0.013237 1.000000
0.013337 1.000000
0.013436 1.000000
0.013535 1.000000
0.013634 1.000000
0.013733 1.000000
0.013832 1.000000
0.013931 1.000000
0.014030 1.000000
0.014130 1.000000
0.014229 1.000000
0.014328 1.000000
0.014427 1.000000
0.014526 1.000000
0.014625 1.000000
0.014724 1.000000
0.014823 1.000000
0.014923 1.000000
0.015022 1.000000
0.015121 1.000000
0.015220 1.000000
0.015319 1.000000
0.015418 1.000000
0.015517 1.000000
0.015616 1.000000
0.015716 1.000000
0.015815 1.000000
0.015914 1.000000
0.016013 1.000000
0.016112 1.000000
0.016211 1.000000
0.016310 1.000000
0.016409 1.000000
0.016509 1.000000
0.016608 1.000000
0.016707 1.000000
0.016806 1.000000
0.016905 1.000000
0.017004 1.000000
0.017103 1.000000
0.017202 1.000000
0.017302 1.000000
0.017401 1.000000
0.017500 1.000000
0.017599 1.000000
0.017698 1.000000
0.017797 1.000000
0.017896 1.000000
0.017995 1.000000
0.018095 1.000000
0.018194 1.000000
0.018293 1.000000
0.018392 1.000000
0.018491 1.000000
0.018590 1.000000
0.018689 1.000000
0.018788 1.000000
0.018888 1.000000
0.018987 1.000000
0.019086 1.000000
0.019185 1.000000
0.019284 1.000000
0.019383 1.000000
0.019482 1.000000
0.019581 1.000000
0.019681 1.000000
0.019780 1.000000
0.019879 1.000000
0.019978 1.000000
0.020077 1.000000
0.020176 1.000000
0.020275 1.000000
0.020374 1.000000
0.020474 1.000000
0.020573 1.000000
0.020672 1.000000
0.020771 1.000000
0.020870 1.000000
0.020969 1.000000
0.021068 1.000000
0.021168 1.000000
