# Threshold Efficiency
0.001174 1.000000
0.001274 1.000000
0.001374 1.000000
0.001473 1.000000
0.001573 1.000000
0.001673 1.000000
0.001773 1.000000
0.001872 1.000000
0.001972 1.000000
0.002072 1.000000
0.002171 1.000000
0.002271 1.000000
0.002371 1.000000
0.002471 1.000000
0.002570 1.000000
0.002670 1.000000
0.002770 1.000000
0.002870 1.000000
0.002969 1.000000
0.003069 1.000000
0.003169 1.000000
0.003268 1.000000
0.003368 1.000000
0.003468 1.000000
0.003568 1.000000
0.003667 1.000000
0.003767 1.000000
0.003867 1.000000
0.003967 1.000000
0.004066 1.000000
0.004166 1.000000
0.004266 1.000000
0.004365 1.000000
0.004465 1.000000
0.004565 1.000000
0.004665 1.000000
0.004764 1.000000
0.004864 1.000000
0.004964 1.000000
0.005064 1.000000
0.005163 1.000000
0.005263 1.000000
0.005363 1.000000
0.005462 1.000000
0.005562 1.000000
0.005662 1.000000
0.005762 1.000000
0.005861 1.000000
0.005961 1.000000
0.006061 1.000000
0.006161 1.000000
0.006260 1.000000
0.006360 1.000000
0.006460 1.000000
0.006559 1.000000
0.006659 1.000000
0.006759 1.000000
0.006859 1.000000
0.006958 1.000000
0.007058 1.000000
0.007158 1.000000
0.007258 1.000000
0.007357 1.000000
0.007457 1.000000
0.007557 1.000000
0.007656 1.000000
0.007756 1.000000
0.007856 1.000000
0.007956 1.000000
0.008055 1.000000
0.008155 1.000000
0.008255 1.000000
0.008355 1.000000
0.008454 1.000000
0.008554 1.000000
0.008654 1.000000
0.008753 1.000000
0.008853 1.000000
0.008953 1.000000
0.009053 1.000000
0.009152 1.000000
0.009252 1.000000
0.009352 1.000000
0.009452 1.000000
0.009551 1.000000
0.009651 1.000000
0.009751 1.000000
0.009850 1.000000
0.009950 1.000000
0.010050 1.000000
0.010150 1.000000
0.010249 1.000000
0.010349 1.000000
0.010449 1.000000
0.010549 1.000000
0.010648 1.000000
0.010748 1.000000
0.010848 1.000000
0.010947 1.000000
0.011047 1.000000
0.011147 1.000000
0.011247 1.000000
0.011346 1.000000
0.011446 1.000000
0.011546 1.000000
0.011646 1.000000
0.011745 1.000000
0.011845 1.000000
0.011945 1.000000
0.012044 1.000000
0.012144 1.000000
0.012244 1.000000
0.012344 1.000000
0.012443 1.000000
0.012543 1.000000
0.012643 1.000000
0.012743 1.000000
0.012842 1.000000
0.012942 1.000000
0.013042 1.000000
0.013141 1.000000
0.013241 1.000000
0.013341 1.000000
0.013441 1.000000
0.013540 1.000000
0.013640 1.000000
0.013740 1.000000
0.013840 1.000000
0.013939 1.000000
0.014039 1.000000
0.014139 1.000000
0.014238 1.000000
0.014338 1.000000
0.014438 1.000000
0.014538 1.000000
0.014637 1.000000
0.014737 1.000000
0.014837 1.000000
0.014936 1.000000
0.015036 1.000000
0.015136 1.000000
0.015236 1.000000
0.015335 1.000000
0.015435 1.000000
0.015535 1.000000
0.015635 1.000000
0.015734 1.000000
0.015834 1.000000
0.015934 1.000000
0.016033 1.000000
0.016133 1.000000
0.016233 1.000000
0.016333 1.000000
0.016432 1.000000
0.016532 1.000000
0.016632 1.000000
0.016732 1.000000
0.016831 1.000000
0.016931 1.000000
0.017031 1.000000
0.017130 1.000000
0.017230 1.000000
0.017330 1.000000
0.017430 1.000000
0.017529 1.000000
0.017629 1.000000
0.017729 1.000000
0.017829 1.000000
0.017928 1.000000
0.018028 1.000000
0.018128 1.000000
0.018227 1.000000
0.018327 1.000000
0.018427 1.000000
0.018527 1.000000
0.018626 1.000000
0.018726 0.999766
0.018826 0.999766
0.018926 0.999766
0.019025 0.999766
0.019125 0.999766
0.019225 0.999766
0.019324 0.999766
0.019424 0.999766
0.019524 0.999766
0.019624 0.999766
0.019723 0.999766
0.019823 0.999766
0.019923 0.999766
0.020023 0.999766
0.020122 0.999766
0.020222 0.999766
0.020322 0.999766
0.020421 0.999766
0.020521 0.999766
0.020621 0.999766
0.020721 0.999766
0.020820 0.999766
0.020920 0.999766
0.021020 0.999766
0.021120 0.999766
0.021219 0.999766
0.021319 0.999766
0.021419 0.999531
0.021518 0.999531
0.021618 0.999531
0.021718 0.999531
0.021818 0.999531
0.021917 0.999531
0.022017 0.999531
0.022117 0.999531
0.022217 0.999531
0.022316 0.999531
0.022416 0.999531
0.022516 0.999531
0.022615 0.999531
0.022715 0.999531
0.022815 0.999531
0.022915 0.999531
0.023014 0.999531
0.023114 0.999531
0.023214 0.999531
0.023314 0.999531
0.023413 0.999531
0.023513 0.999531
0.023613 0.999531
0.023712 0.999531
0.023812 0.999531
0.023912 0.999531
0.024012 0.999531
0.024111 0.999531
0.024211 0.999531
0.024311 0.999531
0.024411 0.999531
0.024510 0.999531
0.024610 0.999531
0.024710 0.999531
0.024809 0.999531
0.024909 0.999531
0.025009 0.999531
0.025109 0.999531
0.025208 0.999531
0.025308 0.999531
