# Threshold Efficiency
0.001435 0.999430
0.001534 0.998860
0.001633 0.998860
0.001732 0.998291
0.001832 0.997721
0.001931 0.996011
0.002030 0.994872
0.002129 0.993732
0.002229 0.992593
0.002328 0.991453
0.002427 0.990313
0.002526 0.990313
0.002626 0.989744
0.002725 0.989744
0.002824 0.989174
0.002923 0.988604
0.003022 0.988034
0.003122 0.987464
0.003221 0.986325
0.003320 0.985185
0.003419 0.984615
0.003519 0.984615
0.003618 0.982906
0.003717 0.982336
0.003816 0.980627
0.003916 0.980627
0.004015 0.977778
0.004114 0.975499
0.004213 0.974359
0.004313 0.974359
0.004412 0.972650
0.004511 0.970940
0.004610 0.969801
0.004709 0.969801
0.004809 0.968091
0.004908 0.966382
0.005007 0.965242
0.005106 0.962963
0.005206 0.962393
0.005305 0.961823
0.005404 0.960684
0.005503 0.959544
0.005603 0.958974
0.005702 0.958405
0.005801 0.956695
0.005900 0.953846
0.006000 0.952707
0.006099 0.950997
0.006198 0.949288
0.006297 0.948148
0.006396 0.948148
0.006496 0.946439
0.006595 0.943590
0.006694 0.941880
0.006793 0.941311
0.006893 0.939601
0.006992 0.938462
0.007091 0.938462
0.007190 0.937322
0.007290 0.937322
0.007389 0.937322
0.007488 0.936752
0.007587 0.935613
0.007687 0.935613
0.007786 0.935043
0.007885 0.933333
0.007984 0.931624
0.008084 0.931624
0.008183 0.931624
0.008282 0.931054
0.008381 0.929345
0.008480 0.928205
0.008580 0.927066
0.008679 0.925926
0.008778 0.925356
0.008877 0.925356
0.008977 0.924217
0.009076 0.923077
0.009175 0.921937
0.009274 0.921368
0.009374 0.920798
0.009473 0.920798
0.009572 0.920228
0.009671 0.919658
0.009771 0.919658
0.009870 0.917379
0.009969 0.915100
0.010068 0.913960
0.010167 0.912821
0.010267 0.912251
0.010366 0.911681
0.010465 0.911111
0.010564 0.910541
0.010664 0.910541
0.010763 0.909402
0.010862 0.908832
0.010961 0.907692
0.011061 0.907123
0.011160 0.905983
0.011259 0.905413
0.011358 0.904274
0.011458 0.903704
0.011557 0.903134
0.011656 0.901994
0.011755 0.901994
0.011855 0.900855
0.011954 0.899715
0.012053 0.899145
0.012152 0.898575
0.012251 0.898006
0.012351 0.897436
0.012450 0.896866
0.012549 0.896866
0.012648 0.895726
0.012748 0.895157
0.012847 0.894587
0.012946 0.894017
0.013045 0.892308
0.013145 0.891738
0.013244 0.891168
0.013343 0.890028
0.013442 0.890028
0.013542 0.890028
0.013641 0.890028
0.013740 0.887749
0.013839 0.886610
0.013938 0.886040
0.014038 0.886040
0.014137 0.884900
0.014236 0.884330
0.014335 0.882051
0.014435 0.881481
0.014534 0.880342
0.014633 0.879772
